Unnamed: 0,username,LABEL,processed,user_found,error,user_id,verified,account_age_days,followers_count,following_count,tweet_count_total,follower_following_ratio,tweets_fetched,fraction_retweets,fraction_with_urls,fraction_with_media,avg_tweet_length,avg_sentiment,tweets_per_week,domain_diversity,network_clustering_coefficient,mutual_followers_with_misinfo_spreaders,interaction_with_bots,inferred_political_leaning,personality_big_five,cognitive_reflection_score,avg_exclamation_count,liwc_categories,topic_distribution,image_content_descriptors,image_forensic_signals
65,AndyAndymcfadz,unreliable,True,True,,3082426374.0,False,3676.0,44.0,350.0,1802.0,0.1257142857142857,93.0,0.6559139784946236,0.3333333333333333,0.2580645161290322,95.90322580645162,0.1634813355327468,0.177094668117519,0.1612903225806451,,,,,,,,,,,
66,ANIMALERON,unreliable,True,True,,3262664876.0,False,3568.0,45.0,150.0,3213.0,0.3,91.0,0.7472527472527473,0.4395604395604395,0.3296703296703296,94.26373626373626,0.0369996075353218,0.1785313901345291,0.125,,,,,,,,,,,
67,annagriva2,unreliable,True,True,,1728361525.0,False,4233.0,444.0,3417.0,11915.0,0.1299385425812116,100.0,0.89,0.47,0.28,110.67,0.0260512626262626,0.1653673517599811,0.0851063829787234,,,,,,,,,,,
68,Annie85668888,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ANTIMEDIAnews,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AntonelloDiBell,unreliable,True,True,,501783959.0,False,4790.0,211.0,548.0,33683.0,0.3850364963503649,97.0,0.9278350515463918,0.1237113402061855,0.0721649484536082,127.27835051546391,0.0058709486866703,0.1417536534446764,0.25,,,,,,,,,,,
71,apz772kman,unreliable,True,True,,2687127030.0,False,3906.0,130.0,700.0,41402.0,0.1857142857142857,0.0,,,,,,,,,,,,,,,,,,
72,ArcturusYeomans,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Aroddy850,unreliable,True,True,,561908748.0,False,4731.0,258.0,2212.0,2120.0,0.1166365280289331,99.0,0.101010101010101,0.0404040404040404,0.0303030303030303,168.08080808080808,0.00730694975419,0.1464806594800253,0.5,,,,,,,,,,,
74,Artemius334,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,AsadAfghann,unreliable,True,True,,2561149136.0,False,3953.0,39791.0,1364.0,8092.0,29.172287390029325,100.0,0.77,0.5,0.36,122.2,0.001155303030303,0.1770806982038958,0.16,,,,,,,,,,,
76,asaduzzaman55,unreliable,True,True,,1.42594760848103e+18,False,1333.0,4.0,133.0,25.0,0.0300751879699248,25.0,0.32,0.32,0.16,87.36,0.1463277417027416,0.1312828207051763,0.5,,,,,,,,,,,
77,ascedant_rebel,unreliable,True,True,,1.0373606702185718e+18,False,2405.0,218.0,304.0,3488.0,0.7171052631578947,100.0,0.1,0.07,0.05,56.37,0.0308035714285714,0.2910602910602911,0.2857142857142857,,,,,,,,,,,
78,ashyboy7,unreliable,True,True,,1.2696885603257057e+18,False,1764.0,0.0,51.0,32.0,0.0,32.0,0.0,0.0,0.0,144.03125,0.0374379020863395,0.1269841269841269,,,,,,,,,,,,
79,Asimous1,unreliable,True,True,,1.0573559916443648e+18,False,2350.0,136.0,377.0,9633.0,0.3607427055702917,77.0,0.6883116883116883,0.6493506493506493,0.3766233766233766,91.32467532467533,-0.0007730364873222,0.2293617021276595,0.18,,,,,,,,,,,
80,AsmaNahl,unreliable,True,True,,2932639876.0,False,3761.0,99.0,342.0,1877.0,0.2894736842105263,94.0,0.648936170212766,0.6063829787234043,0.4893617021276595,92.45744680851064,0.0173104525498142,0.1749534698218558,0.0701754385964912,,,,,,,,,,,
81,Astrozomborg,unreliable,True,True,,418676545.0,False,4884.0,200.0,1195.0,4285.0,0.1673640167364016,99.0,0.3131313131313131,0.2929292929292929,0.1818181818181818,85.68686868686869,0.0305296596466104,0.1418918918918919,0.2758620689655172,,,,,,,,,,,
82,AtlasAlphaTrade,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,AtteberryAngela,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,auram_maura,unreliable,True,True,,1454710092.0,False,4335.0,339.0,715.0,19118.0,0.4741258741258741,100.0,0.27,0.65,0.12,80.75,0.0574443542568542,0.1614763552479815,0.2153846153846154,,,,,,,,,,,
85,AuraTrader,unreliable,True,True,,2834532891.0,False,3825.0,188.0,235.0,37090.0,0.8,100.0,0.99,0.45,0.4,115.13,0.0306612554112554,0.1830065359477124,0.0444444444444444,,,,,,,,,,,
86,AzadRah74925475,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,AzmatHussainBh2,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
88,AzNewLyfeLuv,unreliable,True,True,,2868190300.0,False,3802.0,5.0,2.0,263.0,2.5,99.0,0.1111111111111111,0.4141414141414141,0.1717171717171717,86.67676767676768,0.1342514703310158,0.1822724881641241,0.0975609756097561,,,,,,,,,,,
89,azusakamui,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
90,B1971Fernando,reliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
