feature,gain_mean,gain_std
bow:us,0.40503212809562683,0.0
mnum:netspeak,0.38643382489681244,0.38105779942257567
topic:89,0.37549495324492455,0.27729191983599977
topic:156,0.3590993359684944,0.3506269227924023
bow:make,0.3529953360557556,0.21369708171108898
mnum:ipron,0.3519619330763817,0.09080718566749307
mnum:ppron,0.3474997878074646,0.07173051952578448
topic:127,0.32811522111296654,0.20764454418536418
topic:111,0.32344122529029845,0.16744502931430716
mnum:WPS,0.2782544220487277,0.3095635843259249
topic:101,0.26218080520629883,0.0
bow:hope,0.23741960525512695,0.0
topic:47,0.1844186782836914,0.0
bow:watch,0.18193888664245605,0.0
topic:29,0.1661628931760788,0.0
bow:way,0.14966361473004022,0.11178837563137374
