feature,gain_mean,gain_std
bow:story,2.017441749572754,0.0
topic:200,1.9649435480435689,2.1072978556442266
bow:everything,1.957974910736084,0.0
topic:189,1.9564556181430817,0.46241997433048915
bow:cup,1.9377050399780273,0.0
bow:heart,1.929994821548462,0.0
bow:today,1.926460862159729,0.0
topic:197,1.909037470817566,0.0
topic:192,1.864888310432434,0.0
bow:latest,1.834268569946289,0.0
topic:146,1.819630765914917,1.1719682923208128
bow:next,1.804967850446701,1.2696057442303377
mnum:space,1.7718971252441407,0.4915106435187886
bow:life,1.7685288488864899,1.327295086066594
bow:must,1.764461100101471,1.746930141118462
bow:man,1.7590131759643555,0.0
bow:url got,1.7567400932312012,0.0
topic:105,1.71461017926534,0.6167228440199205
topic:61,1.6629277467727661,0.0
topic:179,1.6592721939086914,0.0
topic:38,1.655043825507164,1.733546806015014
bow:alien,1.654337763786316,0.0
bow:thing,1.6525988578796387,0.0
bow:truth,1.6258107721805573,0.4941538602114409
bow:son,1.6219286918640137,0.0
bow:mr,1.600167989730835,0.0
bow:going,1.5956267714500427,1.443120989948656
bow:know,1.5882676045099895,1.5461962924832597
bow:free,1.5719705820083618,0.0
mnum:bio,1.5714973509311676,1.315959894964035
bow:policy,1.560201644897461,0.0
bow:first,1.5350093245506287,0.8929248170646126
mnum:female,1.5268173217773438,0.2521773324153289
topic:85,1.4978403449058533,0.2795967139309646
topic:120,1.4950437039136886,1.5314208255894053
bow:always,1.4666328430175781,0.0
bow:never,1.465544618666172,1.0217450003773436
bow:without,1.4648003578186035,0.0
bow:call,1.450030227502187,0.833494772621954
mnum:death,1.4427568912506104,1.040154549867513
bow:late,1.4230644702911377,0.0
bow:work,1.422334909439087,1.541817698099466
bow:job,1.4194632768630981,0.0
bow:usr usr,1.4139269987742107,1.3358263597960212
bow:12,1.392888069152832,0.0
bow:10,1.392888069152832,0.0
bow:beautiful,1.3860363960266113,0.0
topic:7,1.381195130944252,0.9309386383537563
topic:199,1.3594930768013,0.36842236073167184
topic:129,1.3536911725997924,0.45444721650021797
bow:try,1.3529473543167114,0.0
bow:take,1.3506404360135396,0.6391906480315572
topic:87,1.321410095691681,0.6497303426620592
topic:48,1.3203986883163452,0.5318323039073379
bow:another,1.3048224449157715,0.0
bow:live,1.3031836301088333,1.6970502041294064
topic:145,1.2932807107766469,1.010530619871108
topic:110,1.2929332256317139,1.3270815279851893
topic:177,1.289313832918803,0.6042720345934934
bow:fire,1.2837895154953003,0.0
topic:113,1.2763355175654094,0.3793350572151769
topic:63,1.2750869790712993,0.3305067577743136
bow:wow,1.2634774446487427,0.0
bow:moment,1.2554584741592407,0.0
bow:good,1.2435248891512554,0.699494141003311
bow:still,1.240029215812683,0.0
mnum:adverb,1.213888281583786,0.7376386120307071
bow:great,1.2069641947746277,0.81120654672906
topic:45,1.203178882598877,0.0
mnum:feel,1.2020427733659744,1.4803779213790662
topic:75,1.200835394859314,0.5694778442187526
mnum:nonflu,1.1927586793899536,0.0
bow:really,1.1814404055476189,0.7500134279596585
topic:188,1.1704200506210327,0.0
topic:36,1.166166365146637,1.0097396781809413
mnum:risk,1.1507686018943786,1.583734791584617
mnum:anx,1.1496510982513428,0.7577396944640575
bow:made,1.1347770690917969,0.18582966976938287
topic:116,1.12868994474411,0.6825582068323898
