feature,abs_coef_mean,abs_coef_std
bow:start,0.46688828111403585,1.0316109204658468
mnum:Sixltr,0.46524070430199754,0.32743895753736285
user:retweet_ratio,0.4642944976398198,0.36770198946759475
mnum:quant,0.45927094583739764,0.44687286230172524
topic:47,0.4552758276096972,0.15616471280421199
topic:132,0.4523573843430402,0.4230389037120513
bow:lot,0.44850204741465516,0.9936836752388646
topic:44,0.44609051828898993,0.3818943217296642
topic:110,0.44603660996415184,0.18363063966164062
bow:en,0.4390909785319188,0.9589211477212015
user:HU_AverageInterval_days,0.43223553278399385,0.2787890823363051
topic:53,0.43168512893189953,0.2657624188624899
mnum:focuspast,0.4278139064973012,0.293951650784671
topic:29,0.4261547239381274,0.36832386816089446
bow:hot,0.42398910720793237,0.932281606786036
bow:super,0.42316431778349894,0.9068777956782851
bow:general,0.4192291687555949,0.822336441506572
bow:trust,0.4159658296502028,0.9104026407576419
topic:93,0.4140320670209963,0.32921071473916586
topic:89,0.41244904368515056,0.2674272530114957
mnum:risk,0.40573510571595656,0.29073018138754725
mnum:we,0.40460087493511165,0.3059910031873805
topic:63,0.4029128607637686,0.26580516483138356
topic:117,0.39626922585990065,0.6677012219361484
user:U_ListedNum,0.3933195120110362,0.2730663650308819
mnum:affect,0.3893238720279679,0.38630343125002137
bow:wonder,0.38503836218510623,0.8365274559537297
topic:57,0.382962908480873,0.4911364808458494
topic:1,0.3764674724309266,0.43964364647670556
mnum:AllPunc,0.3746336734836495,0.21283130532731628
mnum:work,0.3730028470593412,0.3286619164383434
topic:87,0.3726807009396472,0.30162539033255276
topic:189,0.372561954888853,0.239421200196345
mnum:male,0.370675918093297,0.2843363273124676
bow:climate,0.36978950988728726,0.7355054839392638
bow:thanks,0.36764646431514203,0.7842992413727221
topic:192,0.3659074279570708,0.4097189458644163
topic:60,0.36453346300613987,0.22393506923388418
topic:184,0.36348222326366475,0.18493355678270126
topic:11,0.3632221706858663,0.27218272152826545
bow:jobs,0.35480303554127735,0.6938768123223917
user:total_posts,0.3528840750120083,0.31915985654839335
topic:157,0.35249616873071893,0.24882131832486107
mnum:leisure,0.35035674264023625,0.43833791364626296
mnum:OtherP,0.34749276512845484,0.2287922804290616
topic:26,0.3454645394228805,0.2941528709084985
topic:85,0.34536368915009197,0.5903677352655976
topic:104,0.34522789302110085,0.3434701671547074
topic:70,0.34511268579683513,0.3692903270947946
topic:175,0.3426015477766783,0.317417019225368
topic:4,0.34119230213217555,0.472063616916398
bow:north,0.3407228125764483,0.7366786524831291
user:follower_to_followee_ratio,0.34012206811443646,0.2995102020428233
topic:20,0.33986938850528575,0.21781061636140076
bow:share,0.339020688999979,0.7283193210465895
bow:poor,0.3372286013707649,0.7284602749592481
user:U_AccountAge_days,0.3351256311352076,0.2798007933251817
topic:79,0.3340446976572283,0.2443176395329402
topic:151,0.33291523766771064,0.15575876953612086
bow:100,0.32792482187876565,0.6986889303448491
mnum:percept,0.32616930138048666,0.3388037945178214
mnum:Analytic,0.3194173169621067,0.2411744968756328
bow:looks,0.318606049245423,0.6116527796179542
topic:99,0.31457780667317775,0.06939883809604175
mnum:function,0.3140838131223799,0.2697563580642045
topic:80,0.3138277355933996,0.4213598657538177
topic:137,0.3097285970124267,0.2239016389679992
mnum:posemo,0.308138143261847,0.15754277099942846
topic:163,0.3052860894720669,0.28536567436302346
topic:200,0.3046432459406915,0.18508916646282575
topic:190,0.3041630511817618,0.27991910796518515
user:retweet_count,0.30403632808284065,0.18747022959648227
topic:14,0.29925423370073945,0.2584803789755681
topic:113,0.29519765597247516,0.27429834328830727
mnum:home,0.29461385086060243,0.2729803523559713
topic:15,0.29434669961338084,0.1920893675242746
mnum:focuspresent,0.29321806752405954,0.2475730248510726
user:HU_TweetPercent_Retweet,0.2925307543743694,0.24621488324302834
topic:143,0.292150571864325,0.17417738588224405
topic:13,0.290656494676767,0.10895182785018294
bow:video,0.289511347486916,0.5913461335556806
bow:war,0.2884926695782982,0.6073364641157328
