feature,abs_coef_mean,abs_coef_std
topic:27,0.673013708940178,0.4133608464262872
bow:meeting,0.6700510561580942,1.4982797099650278
topic:18,0.667820807890376,0.28787703956801625
mnum:discrep,0.6534230152744319,0.6111266557258239
topic:117,0.6501003164212561,0.9225226417747818
topic:79,0.6482103433880747,0.540596825273148
mnum:time,0.6364979327430063,1.0756392197057734
mnum:posemo,0.6190434123175578,0.31139684409052365
mnum:affiliation,0.6179260786385115,0.5679496304369167
bow:us,0.6163139107209086,1.378119799850688
mnum:reward,0.6046628670513383,0.7263481613424241
topic:53,0.6026365501284462,0.4891743738530737
bow:stand,0.5975074873709592,1.3360673588265617
mnum:WPS,0.5893586129665255,0.8580396966576174
topic:141,0.5893436287454245,0.45551224668978213
topic:26,0.5892360836704176,0.6134993265523238
topic:173,0.5881660741113384,0.6086499490419093
topic:171,0.5778214830148822,0.798296053664324
topic:177,0.5738532033012412,0.3523714814377567
topic:179,0.5712285882659436,0.4841667792134294
mnum:WC,0.5708164292161462,0.7402230084718164
bow:rt,0.5627098782629882,1.258257539406673
topic:47,0.5619437070859081,0.5086345224679509
topic:190,0.560562490546069,0.6728575797616348
bow:oil,0.5604633814605968,1.1209267629211936
topic:107,0.5603375570194953,0.37613856305703514
topic:17,0.5595875941969483,0.6293970477942143
topic:89,0.5527179421167451,0.42999360665445546
topic:188,0.5499813574519694,0.7122950608488292
topic:5,0.5494824547575633,0.5428947185063936
topic:166,0.5435113501865555,0.6425993364253639
bow:one,0.5370136749767813,1.200799082095061
topic:196,0.5361700579179747,0.6683754711516414
topic:145,0.5332148358560653,0.32255567105708693
topic:60,0.5290358309444778,0.6644706256876027
topic:70,0.5283770784391754,0.6741554464287565
topic:33,0.49910567873877626,0.6156484846719945
bow:sleep,0.4968099488882295,1.1109008176122774
bow:created,0.49645942582880664,1.1101170242237266
topic:57,0.4954322526639069,0.5326044559494552
topic:198,0.49534696316556426,0.567834510499868
mnum:filler,0.4926245899532689,0.592536285283997
mnum:death,0.4896923601522002,0.5062807521884716
topic:87,0.48953241459309266,0.389609395847079
topic:151,0.48787986519144527,0.47537458298274005
bow:nothing,0.4854432202687738,1.0854840397373822
mnum:swear,0.4842375497579955,0.43551769413678154
topic:157,0.4828233523964968,0.24717951208375724
topic:4,0.4776163444566695,0.6304062195794017
topic:80,0.4756996384967412,0.4762980676946902
mnum:affect,0.4731607809937137,0.5277433992564682
topic:13,0.4591361036731584,0.5065739101531883
mnum:relig,0.4588820707501883,0.5777638389771081
mnum:shehe,0.4582542976540501,0.6394536901406509
mnum:interrog,0.4557624634637959,0.7649407012528474
mnum:insight,0.45006364648050523,0.4302411484046006
topic:187,0.4488704977647739,0.6579466372400624
mnum:male,0.4476772234782455,0.3661858129319546
bow:trump,0.4467642179335979,0.9989951612140554
topic:93,0.4452460027290808,0.6088755036709463
topic:130,0.44496407784973746,0.11918342937227798
bow:way,0.4435369259383594,0.9917787169294614
mnum:ipron,0.4434908277130531,0.8784973965260026
topic:83,0.439583287597139,0.3839339387018757
topic:127,0.4371921287139589,0.5743575070005655
topic:110,0.4335356100627685,0.3561865299282205
bow:video,0.4277891670410354,0.9565656575417678
topic:185,0.42769071894250577,0.4859525532213522
mnum:OtherP,0.41966048942399875,0.22047983941495655
topic:126,0.4116299564500457,0.5100328696079799
bow:book,0.4052718625481166,0.90621543402554
bow:whole,0.40091454045183356,0.896472165618389
topic:15,0.3986819921220543,0.43238870680207436
mnum:anger,0.398562614469673,0.5229509056024536
bow:children,0.39217310729164223,0.8769257268514306
bow:get,0.3911728930670336,0.8746891798531435
topic:153,0.38870285522494263,0.5163839101433156
mnum:AllPunc,0.3883829869602802,0.2297382803368617
topic:48,0.38609048989307576,0.40812723285905417
mnum:home,0.38396882779820335,0.49082188357806356
bow:shall,0.37971735619776403,0.7594347123955281
topic:115,0.37885796416423034,0.29884051728437605
mnum:we,0.37401693270350933,0.5154094112525844
topic:20,0.3726953451513424,0.3646747313331128
mnum:focuspresent,0.3718356432285847,0.4439286803884969
topic:162,0.3684523636748302,0.5159232601479579
topic:74,0.3683948600022325,0.683239822995087
topic:120,0.36613251055491836,0.376001553986439
