fold,feature,drop
1,topic:147,0.3841080106794834
1,topic:120,0.3836933756247163
1,topic:20,0.37087157322093844
1,topic:161,0.36731422459706664
1,topic:118,0.364761708304286
1,topic:121,0.35550202894955873
1,topic:96,0.350307515822351
1,topic:164,0.34799472242593765
1,topic:59,0.3403333695605397
1,topic:12,0.3271335610188544
1,topic:65,0.32640946563333273
1,topic:193,0.3014767791610211
1,topic:194,0.29817118588835
1,topic:11,0.28536808863282204
1,topic:51,0.2588833631016314
1,topic:173,0.2563238749280572
1,topic:145,0.2552768178284168
1,topic:73,0.24965146789327264
1,topic:67,0.24742700904607773
1,topic:196,0.2473959643393755
1,topic:142,0.23891799105331302
1,topic:108,0.23882795684039593
1,topic:56,0.23486347729340196
1,topic:58,0.22876348532736301
1,topic:28,0.22718157013878226
1,topic:44,0.21191270649433136
1,topic:177,0.20919435378164053
1,topic:152,0.20556951500475407
1,topic:55,0.19833401311188936
1,topic:42,0.19555550813674927
1,topic:103,0.1904743374325335
1,topic:105,0.19000698905438185
1,topic:23,0.18618427217006683
1,topic:117,0.15833070129156113
1,topic:78,0.15624027233570814
1,topic:188,0.15395959792658687
1,topic:46,0.1504736840724945
1,topic:119,0.14263985119760036
1,topic:197,0.13988800952211022
1,topic:5,0.134536512196064
1,topic:3,0.1305165085941553
1,topic:170,0.12634966149926186
1,topic:45,0.12087570689618587
1,topic:10,0.11945982277393341
1,topic:49,0.11512328498065472
1,topic:97,0.11370048392564058
1,topic:168,0.10624855477362871
1,topic:57,0.104096544906497
1,topic:31,0.10060046147555113
1,topic:110,0.09846281260251999
1,topic:77,0.09412358328700066
1,topic:80,0.0888392897322774
1,topic:81,0.08378005400300026
1,topic:140,0.08058423828333616
1,topic:53,0.07211223244667053
1,topic:63,0.07160369493067265
1,topic:169,0.07129526603966951
1,topic:33,0.06931696832180023
1,topic:60,0.06849340535700321
1,topic:166,0.06794609781354666
1,topic:155,0.06445963773876429
1,topic:101,0.056202128529548645
1,topic:160,0.05537599138915539
1,topic:24,0.04729490075260401
1,topic:114,0.045243844389915466
1,topic:144,0.04382585361599922
1,topic:95,0.04318237490952015
1,topic:17,0.040570737794041634
1,topic:52,0.039510730654001236
1,topic:179,0.03647753223776817
1,topic:71,0.036058900877833366
1,topic:165,0.03568626381456852
1,topic:47,0.034532285295426846
1,topic:22,0.03364945575594902
1,topic:13,0.033359095454216
1,topic:54,0.03238208591938019
1,topic:159,0.0323727848008275
1,topic:112,0.026203106623142958
1,topic:69,0.023840874433517456
1,topic:104,0.02320441184565425
1,topic:150,0.022717402782291174
1,topic:62,0.0223435927182436
1,topic:100,0.020058108493685722
